date,indicator_id,region_id,value
2013-10-31,ZSFH,99999,213596.881765741
2013-09-30,ZSFH,99999,211381.211900157
2013-08-31,ZSFH,99999,209450.39560396
2013-07-31,ZSFH,99999,207313.852655201
2013-06-30,ZSFH,99999,205273.572992966
2013-05-31,ZSFH,99999,201937.075152925
2013-04-30,ZSFH,99999,197896.659646
2013-03-31,ZSFH,99999,194347.825563736
2013-02-28,ZSFH,99999,192009.074933152
2013-01-31,ZSFH,99999,190513.971500304
2012-12-31,ZSFH,99999,189513.306851373
2012-11-30,ZSFH,99999,188217.654811396
2012-10-31,ZSFH,99999,187491.109544694
2012-09-30,ZSFH,99999,186705.621818848
2012-08-31,ZSFH,99999,186531.833621636
2012-07-31,ZSFH,99999,186404.612666129
2012-06-30,ZSFH,99999,186063.14071556
2012-05-31,ZSFH,99999,185189.326687046
2012-04-30,ZSFH,99999,183322.671672814
2012-03-31,ZSFH,99999,181162.126125443
2012-02-29,ZSFH,99999,178145.234841549
2012-01-31,ZSFH,99999,176275.98071221
2011-12-31,ZSFH,99999,175135.526226604
2011-11-30,ZSFH,99999,175551.037692311
2011-10-31,ZSFH,99999,176277.671309756
2011-09-30,ZSFH,99999,176811.526319511
2011-08-31,ZSFH,99999,177247.857926921
2011-07-31,ZSFH,99999,177289.556484326
2011-06-30,ZSFH,99999,177445.072393928
2011-05-31,ZSFH,99999,177829.869766005
2011-04-30,ZSFH,99999,179117.663251361
2011-03-31,ZSFH,99999,181783.511434229
2011-02-28,ZSFH,99999,187763.349944044
2011-01-31,ZSFH,99999,192981.685602025
2010-12-31,ZSFH,99999,197000.736964469
2010-11-30,ZSFH,99999,197234.012415865
2010-10-31,ZSFH,99999,197957.603269021
2010-09-30,ZSFH,99999,198790.431435324
2010-08-31,ZSFH,99999,200185.750259967
2010-07-31,ZSFH,99999,200678.162345698
2010-06-30,ZSFH,99999,201212.966162801
2010-05-31,ZSFH,99999,201448.916109329
2010-04-30,ZSFH,99999,202049.75052019
2010-03-31,ZSFH,99999,202587.291073169
2010-02-28,ZSFH,99999,203776.478020343
2010-01-31,ZSFH,99999,205092.122228682
2009-12-31,ZSFH,99999,206058.261003967
2009-11-30,ZSFH,99999,205737.300547979
2009-10-31,ZSFH,99999,204672.929565161
2009-09-30,ZSFH,99999,202198.873686648
2009-08-31,ZSFH,99999,201350.269609085
2009-07-31,ZSFH,99999,201762.581261178
2009-06-30,ZSFH,99999,204578.939925802
2009-05-31,ZSFH,99999,206713.114040393
2009-04-30,ZSFH,99999,208484.652436276
2009-03-31,ZSFH,99999,209490.469158494
2009-02-28,ZSFH,99999,209934.019557879
2009-01-31,ZSFH,99999,210118.816527764
2008-12-31,ZSFH,99999,219776.0
2008-11-30,ZSFH,99999,220347.0
2008-10-31,ZSFH,99999,220771.0
2008-09-30,ZSFH,99999,221228.0
2008-08-31,ZSFH,99999,221310.0
2008-07-31,ZSFH,99999,221684.0
2008-06-30,ZSFH,99999,220484.0
2008-05-31,ZSFH,99999,221028.0
2008-04-30,ZSFH,99999,221053.0
