date,value
2007-07-31,219686.0
2007-06-30,217035.0
2007-05-31,213196.0
2007-04-30,210060.0
2007-03-31,205268.0
2007-02-28,202023.0
2007-01-31,200260.0
2006-12-31,198535.0
2006-11-30,197924.0
2006-10-31,196573.0
2006-09-30,193744.0
2006-08-31,189865.0
2006-07-31,187126.0
2006-06-30,187415.0
2006-05-31,188323.0
2006-04-30,188989.0
2006-03-31,188116.0
2006-02-28,186794.0
2006-01-31,184637.0
2005-12-31,183392.0
2005-11-30,181214.0
2005-10-31,179215.0
2005-09-30,177270.0
2005-08-31,176223.0
2005-07-31,174991.0
2005-06-30,172571.0
2005-05-31,169868.0
2005-04-30,167105.0
2005-03-31,165721.0
2005-02-28,164998.0
2005-01-31,164988.0
2023-11-30,425576.183088126
2023-10-31,425934.539615067
2023-09-30,426907.287625728
2023-08-31,428246.776301969
2023-07-31,429141.364692116
2023-06-30,430013.106366001
2023-05-31,429615.800197269
2023-04-30,429124.32449107
2023-03-31,427808.642968342
2023-02-28,429739.604559713
2023-01-31,432730.423302556
2022-12-31,436539.409985166
2022-11-30,437476.451519872
2022-10-31,438957.272091137
2022-09-30,441837.578262492
2022-08-31,446784.028295059
2022-07-31,450717.31927663
2022-06-30,450571.967254069
2022-05-31,446203.182824158
2022-04-30,438194.82619309
2022-03-31,429278.394011339
2022-02-28,419383.478828852
2022-01-31,412627.943604133
2021-12-31,407732.278363661
2021-11-30,404182.84573068
2021-10-31,399624.534325744
2021-09-30,394208.541548356
2021-08-31,389272.725518383
2021-07-31,383960.570804608
2021-06-30,377759.317268236
2021-05-31,370848.598648913
2021-04-30,363153.262425925
2021-03-31,355156.696628735
2021-02-28,347232.494964234
2021-01-31,338603.674984961
2020-12-31,329308.267250035
2020-11-30,320472.170582934
2020-10-31,312907.362195255
2020-09-30,307214.446895494
2020-08-31,301741.434072291
2020-07-31,297346.157941249
2020-06-30,294335.168209219
2020-05-31,291220.084127672
2020-04-30,288557.828823207
2020-03-31,286728.429311034
2020-02-29,286649.152317327
2020-01-31,286358.117411319
2019-12-31,284926.413282067
2019-11-30,282746.088531615
2019-10-31,280680.857043552
2019-09-30,279029.476543248
2019-08-31,278051.79497692
2019-07-31,277060.114066994
2019-06-30,276074.322598199
2019-05-31,274787.33863693
2019-04-30,273455.295055847
2019-03-31,272282.395746741
2019-02-28,272267.05704648
2019-01-31,272754.353142163
2018-12-31,272408.75627135
2018-11-30,270212.180216026
2018-10-31,267434.785875701
2018-09-30,265028.438392518
2018-08-31,261867.227986084
2018-07-31,258643.339664636
2018-06-30,256126.328580359
2018-05-31,254334.873486336
2018-04-30,252399.341952548
2018-03-31,250215.11606482
2018-02-28,248583.52914912
2018-01-31,247376.887598258
2017-12-31,245985.407808971
2017-11-30,244914.609119799
2017-10-31,244291.576462587
2017-09-30,243946.827804189
2017-08-31,243133.409741286
2017-07-31,241953.114762968
2017-06-30,240706.52683295
2017-05-31,239207.330312075
2017-04-30,238176.446021711
2017-03-31,237460.540192642
2017-02-28,237701.559309663
2017-01-31,237659.011012104
2016-12-31,237189.856652422
2016-11-30,236311.089904755
2016-10-31,235493.36533046
2016-09-30,234660.865262493
2016-08-31,234193.318166112
2016-07-31,233347.135995091
2016-06-30,232408.489896226
2016-05-31,231246.280871631
2016-04-30,230972.035592085
2016-03-31,231426.23755304
2016-02-29,231404.622898473
2016-01-31,230466.013687667
2015-12-31,229348.402162248
2015-11-30,228693.632966829
2015-10-31,228430.589101919
2015-09-30,227237.168389808
2015-08-31,225498.428995929
2015-07-31,223171.677039182
2015-06-30,221231.355889911
2015-05-31,219255.093192277
2015-04-30,217140.874934728
2015-03-31,214300.68609147
2015-02-28,212464.77451351
2015-01-31,211467.877496896
2014-12-31,212169.636397178
2014-11-30,212978.683807203
2014-10-31,213480.070590311
2014-09-30,212873.258662217
2014-08-31,211677.468023743
2014-07-31,210212.174675789
2014-06-30,208631.478664007
2014-05-31,207716.347480219
2014-04-30,206894.026380602
2014-03-31,206683.251940941
2014-02-28,207081.311515503
2014-01-31,207767.766726855
2013-12-31,209262.4609658
2013-11-30,209889.723935768
2013-10-31,210587.869260565
2013-09-30,210194.611472096
2013-08-31,209789.9135184
2013-07-31,209353.314293021
2013-06-30,208684.830857729
2013-05-31,207735.326873052
2013-04-30,206173.927278918
2013-03-31,204663.876903233
2013-02-28,203906.29941239
2013-01-31,204373.767201089
2012-12-31,205805.207597892
2012-11-30,206744.119419955
2012-10-31,207424.924538281
2012-09-30,207663.904607344
2012-08-31,207280.544243887
2012-07-31,206469.605161837
2012-06-30,205128.433119412
2012-05-31,204127.159129786
2012-04-30,202593.989936284
2012-03-31,200884.333197278
2012-02-29,198340.271752385
2012-01-31,195913.204989
2011-12-31,193960.756011317
2011-11-30,192833.889116964
2011-10-31,192703.332600666
2011-09-30,193251.275188673
2011-08-31,194268.871670681
2011-07-31,195149.455095446
2011-06-30,195507.256333338
2011-05-31,195763.25035756
2011-04-30,196076.319199399
2011-03-31,195767.903969879
2011-02-28,193235.692269866
2011-01-31,190542.544995406
2010-12-31,188707.70535212
2010-11-30,188627.556500062
2010-10-31,188797.65295788
2010-09-30,188656.762155871
2010-08-31,189236.404177066
2010-07-31,189252.1866975
2010-06-30,189209.473272489
2010-05-31,188596.40113781
2010-04-30,187802.402626073
2010-03-31,187668.287325546
2010-02-28,188357.279035521
2010-01-31,189441.933053315
2009-12-31,190870.174048299
2009-11-30,191280.409339197
2009-10-31,192170.775280502
2009-09-30,193042.418490526
2009-08-31,194507.814678177
2009-07-31,196525.227237846
2009-06-30,198142.200317988
2009-05-31,199477.86504562
2009-04-30,200395.467300048
2009-03-31,200558.017574447
2009-02-28,200940.637905565
2009-01-31,200351.189803105
2008-12-31,189779.0
2008-11-30,191628.0
2008-10-31,193158.0
2008-09-30,192929.0
2008-08-31,192752.0
2008-07-31,192306.0
2008-06-30,192355.0
2008-05-31,193154.0
2008-04-30,193273.0
2008-03-31,194189.0
2008-02-29,193707.0
2008-01-31,193852.0
2007-12-31,193742.0
2007-11-30,193625.0
2007-10-31,193201.0
2007-09-30,193523.0
2007-08-31,193830.0
2007-07-31,194348.0
2007-06-30,193906.0
2007-05-31,193119.0
2007-04-30,191318.0
2007-03-31,189874.0
2007-02-28,188522.0
2007-01-31,187431.0
2006-12-31,185582.0
2006-11-30,183277.0
2006-10-31,180541.0
2006-09-30,177900.0
2006-08-31,176678.0
2006-07-31,176427.0
2006-06-30,175571.0
2006-05-31,172994.0
2006-04-30,170344.0
2006-03-31,167668.0
2006-02-28,165442.0
2006-01-31,162702.0
2005-12-31,160948.0
2005-11-30,159447.0
2005-10-31,158513.0
2005-09-30,157658.0
2005-08-31,156047.0
2005-07-31,153899.0
2005-06-30,152600.0
2005-05-31,152634.0
2005-04-30,153370.0
2005-03-31,154150.0
2005-02-28,154467.0
2005-01-31,155340.0
2022-02-28,358088.0
2022-01-31,353821.0
2021-12-31,347393.0
2021-11-30,343565.0
2021-10-31,341212.0
2021-09-30,337105.0
2021-08-31,325363.0
2021-07-31,317573.0
